src,location,caption,date
images/martinique_pelee.jpg,Martinique,View of Mount Pelée's crater – the volcano that errupted in 1902 killing 28000,Winter 2022
images/martinique_cyparis.jpg,Martinique,One of the only survivors of the eruption of Mount Pelée was a prisoner named Cyparis – this is a picture of his cell,Winter 2022
images/caribbean_lily.jpg,Caribbean,Water lily,Winter 2022
images/caribbean_python.jpg,Caribbean,Tree python,Winter 2022
images/caribbean_bird.JPG,Caribbean,Tropical bird,Winter 2022
images/caribbean_mommy_bird.JPG,Caribbean,Bird with chick,Winter 2022
images/caribbean_pigeon1.JPG,Caribbean,Caribbean dove,Winter 2022
images/caribbean_pigeon2.JPG,Caribbean,Tropical pigeon,Winter 2022
images/caribbean_boat.JPG,Caribbean,Fishing boat,Winter 2022
images/caribbean_diamond.JPG,Martinique,Le Petit Piton (which isn't very petit),Winter 2022
images/caribbean_leo.JPG,St. Lucia,St. Lucia's mountains from the boat,Winter 2022
images/martinique_balata.jpg,Martinique,The Balata Gardens,Winter 2022
images/martinique_balata_lily.jpg,Martinique,The Balata gardens,Winter 2022
images/martinique_beach.jpg,Martinique,Petite Anse des Salines – A nude beach we accidentally went to,Winter 2022
images/martinique_sunset2.jpg,Martinique,Caribbean sunset,Winter 2022
images/caribbean_sailboat.JPG,Caribbean,Sailboat at anchor,Winter 2022
images/PEI_beach.JPG,Prince Edward Island,Red sand beach,Summer 2022
images/PEI_beach_horizontal.JPG,Prince Edward Island,PEI coastline,Summer 2022
images/PEI_bridge.JPG,Prince Edward Island,Confederation Bridge,Summer 2022
images/PEI_rocks.JPG,Prince Edward Island,Coastal rocks,Summer 2022
images/PEI_shack.JPG,Prince Edward Island,Fisherman's shack,Summer 2022
images/mtl_church.JPG,Montreal,Notre-Dame Basilica,Ongoing
images/mtl_duluth.JPG,Montreal,Duluth Avenue,Ongoing
images/sunset_family.JPG,Canada,Family sunset,Summer 2022
images/paris_invalides.jpeg,Paris,Les Invalides,Spring 2024
images/paris_invalides_1.JPG,Paris,Invalides dome,Spring 2024
images/paris_place_de_la_concorde.jpg,Paris,Place de la Concorde,Spring 2024
images/paris_tuileries.jpeg,Paris,Tuileries Garden,Spring 2024
images/wedding_car.JPG,Special Occasions,Wedding day,2023
images/wedding_nana.JPG,Special Occasions,Family celebration,2023
